City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
82,Pangai,TO,-19.80,-174.35,75.31,94,40,11.5,scattered clouds
83,Kodino,RU,63.72,39.64,62.26,87,74,4.99,light rain
84,Hailey,US,43.52,-114.32,91.89,26,20,11.5,few clouds
85,Castro,BR,-24.79,-50.01,67.8,73,3,3.87,clear sky
86,Benalla,AU,-36.55,145.98,38.05,73,30,5.19,scattered clouds
87,Pisco,PE,-13.70,-76.22,61.02,88,100,6.91,mist
88,Port Elizabeth,ZA,-33.92,25.57,57.09,95,75,6.91,light intensity drizzle
89,Khatanga,RU,71.97,102.50,45.64,65,100,21.32,overcast clouds
90,Avera,US,33.19,-82.53,90.37,56,99,7.09,overcast clouds
91,Faanui,PF,-16.48,-151.75,77.76,66,0,10.36,clear sky
92,Asfi,MA,32.30,-9.24,79.38,55,100,18.79,overcast clouds
93,Lethem,GY,3.38,-59.80,85.14,68,98,2.73,overcast clouds
94,Thompson,CA,55.74,-97.86,75.36,50,75,19.57,broken clouds
95,Wonthaggi,AU,-38.60,145.59,44.19,88,5,8.55,clear sky
96,Punta Arenas,CL,-53.15,-70.92,35.62,80,75,24.16,light shower snow
97,Mindelo,CV,16.89,-24.98,78.35,73,40,16.11,scattered clouds
98,Lokosovo,RU,61.13,74.82,59.16,69,99,1.12,overcast clouds
99,Jermuk,AM,39.84,45.67,58.93,73,26,6.31,scattered clouds
100,Linfen,CN,36.09,111.52,73.89,65,0,2.15,clear sky
101,Shitkino,RU,56.37,98.35,52.68,95,94,3.04,overcast clouds
102,Tuatapere,NZ,-46.13,167.68,42.49,83,100,1.97,overcast clouds
103,Necochea,AR,-38.55,-58.74,60.96,54,6,18.79,clear sky
104,Whitehorse,CA,60.72,-135.05,54.37,63,100,10.36,overcast clouds
105,Vardo,NO,70.37,31.11,51.78,100,100,1.14,overcast clouds
106,Aklavik,CA,68.22,-135.01,62.6,72,75,3.44,broken clouds
