City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
269,La Primavera,CO,81.61,broken clouds,5.49,-70.41,La Riviera Hotel Colonial
274,Nizwa,OM,82.89,light rain,22.93,57.53,Orient Apartments
275,Kimbe,PG,76.66,broken clouds,-5.55,150.14,Kimbe Bay Hotel
281,Katsuura,JP,77.74,broken clouds,35.13,140.3,Katsuura Hotel Mikazuki
284,Marsaxlokk,MT,82.08,clear sky,35.84,14.54,Water's Edge
285,Tautira,PF,76.24,light rain,-17.73,-149.15,Pension Oaoa
286,Komsomolskiy,UZ,81.32,clear sky,40.43,71.72,Ikathouse
291,Pathanamthitta,IN,77.74,overcast clouds,9.27,76.78,Vijaya Residency
292,Bengkulu,ID,75.81,broken clouds,-3.8,102.27,Grage Hotel Bengkulu
294,Madang,PG,75.47,overcast clouds,-5.22,145.8,Comfort Inn Hotel
295,Kaya,BF,81.79,overcast clouds,13.09,-1.08,Maison de l'appelé
299,Uong Bi,VN,80.58,light rain,21.03,106.78,khach san Trung lien
305,Prokuplje,RS,76.28,clear sky,43.23,21.59,Дом ученика средњих школа Прокупље
310,Dicabisagan,PH,79.2,broken clouds,17.08,122.42,Nancy Montanes Bernardo
313,Kahului,US,81.97,scattered clouds,20.89,-156.47,Maui Seaside Hotel
316,The Valley,AI,86.83,scattered clouds,18.22,-63.06,CeBlue Villas & Beach Resort
323,Kovur,IN,84.65,scattered clouds,14.48,79.98,Hotel Yesh Park
324,Lazaro Cardenas,MX,86.9,clear sky,17.96,-102.2,HOTEL QUINTA ANTIGUA
325,Port Blair,IN,78.84,mist,11.67,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
326,Gizo,SB,81.45,overcast clouds,-8.1,156.84,Imagination Island
336,Kumluca,TR,83.59,clear sky,36.37,30.29,Akkol Apart
338,Ergani,TR,79.9,clear sky,38.27,39.76,Serkan Hotel
342,Pemangkat,ID,78.69,clear sky,1.17,108.97,Ramah Kost KITA
348,Am Timan,TD,75.27,overcast clouds,11.03,20.28,Palais du chef Canton Salamt
351,Amreli,IN,78.03,broken clouds,21.62,71.23,Hotel Angel
354,Hambantota,LK,78.35,overcast clouds,6.12,81.12,Bungalow 63
356,Villarrica,PY,74.23,clear sky,-25.75,-56.43,Mansión Reljuv Tours SA
363,Huilong,CN,77.02,broken clouds,31.81,121.66,Hilton Garden Inn Qidong
364,Tabou,CI,75.49,overcast clouds,4.42,-7.35,hotêl doufoulougou
371,Cockburn Town,TC,82.26,clear sky,21.46,-71.14,Osprey Beach Hotel
374,Parsabad,IR,77.83,clear sky,39.65,47.92,Peacock Hotel Magi
381,Puerto Narino,CO,77.95,overcast clouds,-3.77,-70.38,Eware Refugio Amazonico
382,Vinh,VN,77.9,broken clouds,18.67,105.67,Vuong Hoan 2
385,San Cristobal,VE,78.98,broken clouds,7.77,-72.22,Pirineos
388,Bubaque,GW,76.68,moderate rain,11.28,-15.83,"Casa Dora, Bubaque"
